"name","global_sales_m","na_sales_m","eu_sales_m","jp_sales_m","other_sales_m","meta_critic_score","meta_user_score","platform","plf_con","plf_pc","publisher","developer","num_g_pub","game_genre","gen_action","gen_adventure","gen_racing","gen_roleplaying","gen_simulation","gen_sports","gen_strategy","gen_mmo","gen_misc","franchise","originalcost_$","meta_release_date","singleplayer","multiplayer","coop","controller","meta_esrb","esrb_everyone","esrb_teens","esrb_adults","esrb_pending","indie","soundtrack","presence","languages","num_languages","platform_release_date","platform_release_year","release_diff_days"
"Destiny 2",2.35,1.66,0.47,NA,0.23,87,42,"Xbox One",1,0,"Activision  ","Bungie  ",619,"Shooter",1,0,0,0,0,0,0,0,0,1,0,2017-09-06,0,1,1,1,"T",0,1,0,0,0,0,1007425,"English, French, Italian, German, Japanese, Korean, Polish, Russian",8,2013-11-22,2013,1384
"Destiny 2",4.14,1.92,1.44,0.1,0.69,85,49,"PlayStation 4",1,0,"Activision  ","Bungie  ",619,"Shooter",1,0,0,0,0,0,0,0,0,1,0,2017-09-06,0,1,1,1,"T",0,1,0,0,0,0,1007425,"English, French, Italian, German, Japanese, Korean, Polish, Russian",8,2013-11-15,2013,1391
"The Elder Scrolls Online",1.02,0.35,0.59,NA,0.08,71,58,"PC",0,1,"Bethesda Softworks  ","ZeniMax Online Studios  ",82,"MMO",0,0,0,0,0,0,0,1,0,1,19.99,2014-04-04,1,1,1,1,"M",0,0,1,0,0,0,1000781,"English, French, German, Russian",4,1962-01-01,1962,19086
"Sea of Thieves",0.96,0.6,0.27,NA,0.09,69,50,"Xbox One",1,0,"Microsoft Studios  ","Rare Ltd.  ",96,"Action-Adventure",1,0,0,0,0,0,0,0,0,0,39.99,2018-03-20,0,1,1,1,"T",0,1,0,0,0,0,777456,"English, French, Italian, German, Russian",5,2013-11-22,2013,1579
"Rocket League",2.02,0.37,1.34,NA,0.31,85,85,"PlayStation 4",1,0,"505 Games  ","Psyonix Studios  ",146,"Sports",0,0,0,0,0,1,0,0,0,0,19.99,2015-07-07,1,1,1,1,"E",1,0,0,0,1,0,1006678,"English, French, Italian, German, Dutch, Portuguese, Japanese, Korean, Russian, Turkish, Polish",11,2013-11-15,2013,599
"Dead by Daylight",0.22,0.11,0.06,0.02,0.04,64,62,"PlayStation 4",1,0,"505 Games  ","Behaviour Interactive Inc.  ",146,"Action",1,0,0,0,0,0,0,0,0,0,19.99,2017-06-20,0,1,1,1,"M",0,0,1,0,0,0,1001152,"English, French, Italian, German, Russian, Thai, Japanese, Korean, Polish, Dutch, Swedish, Turkish",12,2013-11-15,2013,1313
"Grand Theft Auto V",19.39,6.06,9.71,0.6,3.02,97,83,"PlayStation 4",1,0,"Rockstar Games  ","Rockstar North  ",64,"Action",1,0,0,0,0,0,0,0,0,1,29.99,2014-11-18,1,1,1,1,"M",0,0,1,0,0,0,1004912,"English, French, Italian, German, Korean, Polish, Russian, Japanese",8,2013-11-15,2013,368
"Grand Theft Auto V",20.32,6.37,9.85,0.99,3.12,97,83,"PlayStation 3",1,0,"Rockstar Games  ","Rockstar North  ",64,"Action",1,0,0,0,0,0,0,0,0,1,29.99,2013-09-17,1,1,1,1,"M",0,0,1,0,0,0,1004912,"English, French, Italian, German, Korean, Polish, Russian, Japanese",8,2006-11-11,2006,2502
"Grand Theft Auto V",15.86,9.06,5.33,0.06,1.42,97,83,"Xbox 360",1,0,"Rockstar Games  ","Rockstar North  ",64,"Action",1,0,0,0,0,0,0,0,0,1,29.99,2013-09-17,1,1,1,1,"M",0,0,1,0,0,0,1004912,"English, French, Italian, German, Korean, Polish, Russian, Japanese",8,2005-11-22,2005,2856
"Grand Theft Auto V",8.72,4.7,3.25,0.01,0.76,97,78,"Xbox One",1,0,"Rockstar Games  ","Rockstar North  ",64,"Action",1,0,0,0,0,0,0,0,0,1,29.99,2014-11-18,1,1,1,1,"M",0,0,1,0,0,0,1004912,"English, French, Italian, German, Korean, Polish, Russian, Japanese",8,2013-11-22,2013,361
"Halo: The Master Chief Collection",3.44,2.06,1.04,0.03,0.31,85,74,"Xbox One",1,0,"Microsoft Studios  ","343 Industries  ",96,"Shooter",1,0,0,0,0,0,0,0,0,1,39.99,2014-11-11,1,1,1,1,"M",0,0,1,0,0,0,1001242,"English, French, Italian, German, Japanese, Polish, Portuguese, Russian",8,2013-11-22,2013,354
"Monster Hunter: World",4.67,1.03,1.06,2.17,0.42,90,76,"PlayStation 4",1,0,"Capcom  ","Capcom  ",549,"Action",1,0,0,0,0,0,0,0,0,1,29.99,2018-01-26,1,1,1,1,"T",0,1,0,0,0,0,1008752,"English, French, Italian, German, Arabic, Polish, Japanese, Korean, Russian",9,2013-11-15,2013,1533
"Monster Hunter: World",0.93,0.67,0.17,NA,0.09,90,72,"Xbox One",1,0,"Capcom  ","Capcom  ",549,"Action",1,0,0,0,0,0,0,0,0,1,29.99,2018-01-26,1,1,1,1,"T",0,1,0,0,0,0,1008752,"English, French, Italian, German, Arabic, Polish, Japanese, Korean, Russian",9,2013-11-22,2013,1526
"Red Dead Redemption 2",5.77,3.76,1.47,NA,0.54,97,73,"Xbox One",1,0,"Rockstar Games  ","Rockstar Games  ",64,"Action-Adventure",1,0,0,0,0,0,0,0,0,1,59.99,2018-10-26,1,1,0,1,"M",0,0,1,0,0,0,1004105,"English, French, Italian, German, Japanese, Korean, Polish, Portuguese, Russian",9,2013-11-22,2013,1799
"Red Dead Redemption 2",13.94,5.26,6.21,0.21,2.26,97,79,"PlayStation 4",1,0,"Rockstar Games  ","Rockstar Games  ",64,"Action-Adventure",1,0,0,0,0,0,0,0,0,1,59.99,2018-10-26,1,1,0,1,"M",0,0,1,0,0,0,1004105,"English, French, Italian, German, Japanese, Korean, Polish, Portuguese, Russian",9,2013-11-15,2013,1806
"War Thunder",0,NA,NA,0,NA,76,59,"PlayStation 4",1,0,"DMM Games  ","DMM Games  ",2,"Action",1,0,0,0,0,0,0,0,0,0,0,2014-06-03,0,1,1,1,"T",0,1,0,0,0,0,1005547,"English, German, French, Italian, Russian, Japanese, Polish, Czech, Turkish, Portuguese, Korean, Hungarian, Ukrainian",13,2013-11-15,2013,200
"The Sims 4",0.73,0.42,0.24,NA,0.07,66,25,"Xbox One",1,0,"Electronic Arts  ","Maxis  ",761,"Simulation",0,0,0,0,1,0,0,0,0,1,39.99,2017-11-17,1,1,0,0,"T",0,1,0,0,0,0,1003469,"English, French, Italian, German, Czech, Danish, Dutch, Japanese, Norwegian, Polish, Russian, Swedish, Finnish, Korean",14,2013-11-22,2013,1456
"The Sims 4",1.39,0.44,0.72,0.01,0.22,66,36,"PlayStation 4",1,0,"Electronic Arts  ","Maxis  ",761,"Simulation",0,0,0,0,1,0,0,0,0,1,39.99,2017-11-17,1,1,0,0,"T",0,1,0,0,0,0,1003469,"English, French, Italian, German, Czech, Danish, Dutch, Japanese, Norwegian, Polish, Russian, Swedish, Finnish, Korean",14,2013-11-15,2013,1463
"The Sims 4",4.1,1.2,2.6,NA,0.3,70,40,"PC",0,1,"Electronic Arts  ","Maxis  ",761,"Simulation",0,0,0,0,1,0,0,0,0,1,39.99,2014-09-02,1,1,0,0,"T",0,1,0,0,0,0,1003469,"English, French, Italian, German, Czech, Danish, Dutch, Japanese, Norwegian, Polish, Russian, Swedish, Finnish, Korean",14,1962-01-01,1962,19237
"The Elder Scrolls V: Skyrim Special Edition",3.36,1.24,1.5,0.08,0.54,81,71,"PlayStation 4",1,0,"Bethesda Softworks  ","Bethesda Softworks  ",82,"Role-Playing",0,0,0,1,0,0,0,0,0,1,39.99,2016-10-28,1,0,0,1,"M",0,0,1,0,0,0,1001699,"English, French, Italian, German, Polish, Russian, Japanese",7,2013-11-15,2013,1078
"The Elder Scrolls V: Skyrim Special Edition",1.83,1.13,0.53,NA,0.17,82,74,"Xbox One",1,0,"Bethesda Softworks  ","Bethesda Softworks  ",82,"Role-Playing",0,0,0,1,0,0,0,0,0,1,39.99,2016-10-28,1,0,0,1,"M",0,0,1,0,0,0,1001699,"English, French, Italian, German, Polish, Russian, Japanese",7,2013-11-22,2013,1071
"Team Fortress 2",0,NA,0,NA,0,92,91,"PC",0,1,"Valve  ","Valve Corporation  ",17,"Shooter",1,0,0,0,0,0,0,0,0,0,0,2007-10-10,0,1,1,1,"M",0,0,1,0,0,0,1009435,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese, Russian, Swedish, Korean, Czech, Hungarian, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian",22,1962-01-01,1962,16718
"Fallout 76",0.21,0.12,0.07,NA,0.02,52,26,"PC",0,1,"Bethesda Softworks  ","Bethesda Game Studios  ",82,"Role-Playing",0,0,0,1,0,0,0,0,0,1,39.99,2018-11-14,0,1,1,1,"M",0,0,1,0,0,0,846801,"English, French, Italian, German, Japanese, Korean, Polish, Russian",8,1962-01-01,1962,20771
"Fallout 76",1.32,0.52,0.49,0.1,0.2,53,25,"PlayStation 4",1,0,"Bethesda Softworks  ","Bethesda Game Studios  ",82,"Role-Playing",0,0,0,1,0,0,0,0,0,1,39.99,2018-11-14,0,1,1,1,"M",0,0,1,0,0,0,846801,"English, French, Italian, German, Japanese, Korean, Polish, Russian",8,2013-11-15,2013,1825
"Fallout 76",0.93,0.59,0.26,NA,0.09,49,24,"Xbox One",1,0,"Bethesda Softworks  ","Bethesda Game Studios  ",82,"Role-Playing",0,0,0,1,0,0,0,0,0,1,39.99,2018-11-14,0,1,1,1,"M",0,0,1,0,0,0,846801,"English, French, Italian, German, Japanese, Korean, Polish, Russian",8,2013-11-22,2013,1818
"Terraria",0.07,NA,0.05,0.01,0.01,83,75,"PlayStation 4",1,0,"505 Games  ","Re-Logic  ",146,"Action",1,0,0,0,0,0,0,0,0,0,9.99,2014-11-11,1,1,1,1,"T",0,1,0,0,1,0,1001702,"English, French, Italian, German, Polish, Russian",6,2013-11-15,2013,361
"Terraria",0.04,NA,0.04,NA,0,84,75,"Xbox One",1,0,"505 Games  ","Re-Logic  ",146,"Action",1,0,0,0,0,0,0,0,0,0,9.99,2014-11-14,1,1,1,1,"T",0,1,0,0,1,0,1001702,"English, French, Italian, German, Polish, Russian",6,2013-11-22,2013,357
"Terraria",0.45,0.09,0.21,0.09,0.06,81,80,"PlayStation 3",1,0,"505 Games  ","Engine Software  ",146,"Action-Adventure",1,0,0,0,0,0,0,0,0,0,9.99,2013-03-26,1,1,1,1,"T",0,1,0,0,1,0,1001702,"English, French, Italian, German, Polish, Russian",6,2006-11-11,2006,2327
"Stardew Valley",0.1,0.04,0.04,NA,0.02,86,76,"PlayStation 4",1,0,"505 Games  ","ConcernedApe  ",146,"Simulation",0,0,0,0,1,0,0,0,0,0,14.99,2016-12-13,1,1,0,1,"E10+",1,0,0,0,1,0,902462,"English, German, Japanese, Russian, French, Italian, Hungarian, Korean, Turkish",9,2013-11-15,2013,1124
"Stardew Valley",0.03,0.02,NA,NA,0,89,77,"Xbox One",1,0,"505 Games  ","ConcernedApe  ",146,"Simulation",0,0,0,0,1,0,0,0,0,0,14.99,2016-12-14,1,1,0,1,"E10+",1,0,0,0,1,0,902462,"English, German, Japanese, Russian, French, Italian, Hungarian, Korean, Turkish",9,2013-11-22,2013,1118
"Titanfall 2",1.37,0.88,0.37,NA,0.13,87,82,"Xbox One",1,0,"Electronic Arts  ","Respawn Entertainment  ",761,"Shooter",1,0,0,0,0,0,0,0,0,0,29.99,2016-10-28,1,1,0,1,"M",0,0,1,0,0,0,1008683,"English, French, Italian, German, Polish, Portuguese, Russian",7,2013-11-22,2013,1071
"Titanfall 2",1.72,0.75,0.62,0.06,0.28,89,84,"PlayStation 4",1,0,"Electronic Arts  ","Respawn Entertainment  ",761,"Shooter",1,0,0,0,0,0,0,0,0,0,29.99,2016-10-28,1,1,0,1,"M",0,0,1,0,0,0,1008683,"English, French, Italian, German, Polish, Portuguese, Russian",7,2013-11-15,2013,1078
"Assassin's Creed Odyssey",0.06,NA,0.06,NA,0,86,55,"PC",0,1,"Ubisoft  ","Ubisoft Quebec  ",802,"Action-Adventure",1,0,0,0,0,0,0,0,0,1,59.99,2018-10-02,1,1,0,1,"M",0,0,1,0,0,0,708875,"English, French, Italian, German, Arabic, Czech, Dutch, Japanese, Korean, Polish, Russian",11,1962-01-01,1962,20728
"Assassin's Creed Odyssey",1.39,0.91,0.35,NA,0.13,87,55,"Xbox One",1,0,"Ubisoft  ","Ubisoft Quebec  ",802,"Action-Adventure",1,0,0,0,0,0,0,0,0,1,59.99,2018-10-02,1,1,0,1,"M",0,0,1,0,0,0,708875,"English, French, Italian, German, Arabic, Czech, Dutch, Japanese, Korean, Polish, Russian",11,2013-11-22,2013,1775
"Assassin's Creed Odyssey",3.18,1.18,1.4,0.09,0.51,83,59,"PlayStation 4",1,0,"Ubisoft  ","Ubisoft Quebec  ",802,"Action-Adventure",1,0,0,0,0,0,0,0,0,1,59.99,2018-10-02,1,1,0,1,"M",0,0,1,0,0,0,708875,"English, French, Italian, German, Arabic, Czech, Dutch, Japanese, Korean, Polish, Russian",11,2013-11-15,2013,1782
"7 Days to Die",0.12,0.09,0.02,NA,0.01,35,54,"Xbox One",1,0,"Telltale Games  ","The Fun Pimps  ",43,"Action",1,0,0,0,0,0,0,0,0,0,24.99,2016-06-28,1,1,1,1,"M",0,0,1,0,1,0,1000858,"English, French, German, Italian, Japanese, Korean, Polish, Russian, Turkish",9,2013-11-22,2013,949
"7 Days to Die",0.21,0.09,0.08,NA,0.03,45,58,"PlayStation 4",1,0,"Telltale Games  ","The Fun Pimps  ",43,"Action",1,0,0,0,0,0,0,0,0,0,24.99,2016-06-28,1,1,1,1,"M",0,0,1,0,1,0,1000858,"English, French, German, Italian, Japanese, Korean, Polish, Russian, Turkish",9,2013-11-15,2013,956
"theHunter: Call of the Wild",0.21,0.18,NA,NA,0.02,83,73,"Xbox One",1,0,"THQ Nordic  ","Expansive Worlds  ",25,"Shooter",1,0,0,0,0,0,0,0,0,0,19.99,2017-10-02,1,1,1,1,"T",0,1,0,0,0,0,211445,"English, French, German, Russian, Czech, Polish, Japanese",7,2013-11-22,2013,1410
"theHunter: Call of the Wild",0.24,0.19,NA,NA,0.04,75,71,"PlayStation 4",1,0,"THQ Nordic  ","Expansive Worlds  ",25,"Shooter",1,0,0,0,0,0,0,0,0,0,19.99,2017-10-02,1,1,1,1,"T",0,1,0,0,0,0,211445,"English, French, German, Russian, Czech, Polish, Japanese",7,2013-11-15,2013,1417
"Europa Universalis IV",0,NA,0,NA,0,87,87,"PC",0,1,"Paradox Interactive   ","Paradox Development  ",124,"Strategy",0,0,0,0,0,0,1,0,0,1,39.99,2013-08-13,1,1,0,0,"T",0,1,0,0,0,0,695010,"English, German, French",3,1962-01-01,1962,18852
